CAS,MolecularWeight
464-48-2,152.2334
1196-01-6,150.2176
92-52-4,154.2078
1618-26-4,108.226
495-62-5,204.3511
507-70-0,154.2493
76-49-3,196.2860
76-50-6,238.3657
68039-26-9,172.2646
109-42-2,240.3816
7785-66-2,156.2221
6297-41-2,172.2646
123-86-4,116.1583
71-36-3,74.1216
7756-96-9,193.2423
136-60-7,178.2277
109-21-7,144.2114
7492-70-8,216.2741
538-65-8,204.2649
592-84-7,102.1317
626-82-4,172.2646
97-87-0,144.2114
109-19-3,158.2380
138-22-7,146.1843
2052-15-5,172.2215
589-75-3,200.3178
122-43-0,192.2542
590-01-2,130.1849
2052-14-4,194.2271
544-40-1,146.294
123-72-8,72.1057
107-92-6,88.1051
29350-73-0,208.3828
79-92-5,136.2340
499-75-2,150.2176
99-48-9,152.2334
97-45-0,208.2967
57082-24-3,264.4030
1139-30-6,220.3505
11028-42-5,204.3511
28231-03-0,220.3505
1405-92-1,262.3871
77-53-2,222.3663
77-54-3,264.4030
104-55-2,132.1592
621-82-9,148.1586
4364-06-1,178.2277
4360-47-8,129.1586
103-54-8,176.2118
104-54-1,134.1751
5320-75-2,238.2812
103-61-7,204.2649
122-69-0,264.3184
104-65-4,162.1852
103-59-3,204.2649
140-27-2,218.2915
1885-38-7,129.1586
59323-76-1,160.277
7214-18-8,156.2652
933-48-2,142.2386
1576-78-9,156.2221
3681-71-8,142.1956
6789-80-6,98.1430
928-96-1,100.1589
65405-76-7,219.2796
25152-85-6,204.2649
16491-36-4,170.2487
68133-75-5,230.3022
61444-38-0,196.2860
33467-73-1,128.1690
31501-11-8,198.3019
41519-23-7,170.2487
35154-45-1,184.2753
61931-81-5,172.2215
33467-74-2,156.2221
65405-77-8,220.2643
67883-79-8,182.2594
35852-46-1,184.2753
10340-23-5,142.2386
13049-88-2,184.2753
20125-84-2,128.2120
13828-37-0,156.2652
21662-09-9,154.2493
10411-92-4,198.3019
64275-73-6,128.2120
35854-86-5,142.2386
2277-19-2,140.2227
115-71-9,220.3505
77-42-9,220.3505
3338-55-4,136.2340
488-10-8,164.2441
5989-33-3,170.2487
5392-40-5,152.2334
7549-37-3,198.3019
150-84-5,198.3019
141-16-2,226.3550
68039-38-3,224.3392
105-85-1,184.2753
10580-25-3,254.4082
97-89-2,226.3550
68922-10-1,240.3816
141-14-0,212.3285
24717-85-9,238.3657
7540-53-6,240.3816
91-64-5,146.1427
1319-77-3,108.1378
122-03-2,148.2017
13816-33-6,145.2010
2550-52-9,238.4088
33880-83-0,204.3511
99-82-1,140.2658
5292-21-7,142.1956
21722-83-8,170.2487
108-93-0,100.1589
2230-87-7,198.3019
59471-80-6,154.2493
5524-05-0,152.2334
622-45-7,142.1956
1551-44-6,170.2487
502-72-7,224.3822
72402-00-7,154.2493
120-92-3,84.1164
69-79-4,342.2965
491-07-6,154.2493
7705-14-8 ,136.2340
1490-04-6,156.2652
59-51-8,149.211
7785-70-8,136.2340
7785-53-7,154.2493
1195-92-2,152.2334
464-49-3,152.2334
2244-16-8,150.2176
825-51-4,154.2493
112-31-2,156.2652
7779-41-1,202.3336
1975-78-6,153.2646
334-48-5,172.2646
112-17-4,200.3178
7289-52-3,172.3077
5454-19-3,214.3443
13466-78-9,136.2340
705-86-2,170.2487
713-95-1,198.3019
823-22-3,114.1424
698-76-0,142.1956
2721-22-4,226.3550
710-04-3,184.2753
4695-62-9,152.2334
431-03-8,86.0892
96-22-0,86.1323
105-53-3,160.1678
123-25-1,174.1944
19139-31-2,284.3911
13720-12-2,194.3132
33673-62-0,170.2487
31499-72-6,194.3132
498-81-7,156.2652
80-25-1,198.3019
3293-47-8,196.3291
17283-81-7,194.3132
619-01-2,154.2493
38049-26-2,154.2493
20777-49-5,196.2860
119-84-6,148.1586
2436-90-0,138.2499
18479-58-8,156.2652
20489-53-6,220.3505
473-55-2,138.2499
94-58-6,164.2011
624-92-0,94.199
106-65-0,146.1412
75-18-3,62.134
3658-80-8,126.264
101-84-8,170.2072
101-81-5,168.2344
629-19-6,150.305
21368-68-3,152.2334
106-22-9,156.2652
5989-27-5,136.2340
126-90-9,154.2493
138-86-3,136.2340
29066-34-0,198.3019
14620-52-1,230.3868
2437-25-4,181.3177
6283-92-7,258.3969
6091-50-5,152.2334
89-82-7,152.2334
639-99-6,222.3663
140-67-0,148.2017
26553-46-8,142.1956
687-47-8,118.1311
692-86-4,212.3285
97-41-6,196.2860
6290-17-1,188.2209
35044-59-8,194.2701
2983-37-1,172.2646
19788-49-9,134.197
7335-26-4,180.2005
6413-10-1,174.1944
55514-48-2,128.1690
53399-81-8,142.1956
7452-79-1,130.1849
39255-32-8,144.2114
67707-75-9,186.2912
2396-83-0,142.1956
5405-41-4,132.1577
13327-56-5,148.223
121-39-1,192.2112
2021-28-5,178.2277
1968-40-7,128.1690
141-78-6,88.1051
141-97-9,130.1418
87-25-2,165.1891
93-89-0,150.1745
94-02-0,192.2112
105-54-4,116.1583
103-36-6,176.2118
34495-71-1,170.2487
5452-75-5,170.2487
110-38-3,200.3178
109-94-4,74.0785
32659-21-5,196.2860
106-30-9,158.2380
123-66-0,144.2114
118-60-5,250.3334
97-62-1,116.1583
108-64-5,130.1849
97-64-3,118.1311
106-33-2,228.3709
539-88-8,144.1684
544-35-4,308.4986
4940-11-8,140.1366
77-83-8,206.2378
124-06-1,256.4241
123-29-5,186.2912
2351-90-8,170.2487
111-62-6,310.5145
628-97-7,284.4772
94-30-4,180.2005
1817-90-9,150.2176
101-97-3,164.2011
105-37-3,102.1317
617-35-6,116.1152
118-61-6,166.1739
2396-84-1,140.1797
5837-78-5,128.1690
3025-30-7,196.2860
623-70-1,114.1424
10544-63-5,114.1424
27829-72-7,142.1956
76649-16-6,198.3019
539-82-2,130.1849
121-32-4,166.1739
105-95-3,270.3645
470-82-6,154.2493
97-53-0,164.2011
93-28-7,206.2378
93-15-2,178.2277
4602-84-0,222.3663
29548-30-9,264.4030
1195-79-5,152.2334
1632-73-1,154.2493
58567-11-6,242.3975
64-18-6,46.0254
98-01-1,96.0841
98-02-2,114.166
13678-68-7,156.202
706-14-9,170.2487
2305-05-7,198.3019
105-21-5,128.1690
695-06-7,114.1424
79-76-5,192.2973
104-61-0,156.2221
104-50-7,142.1956
104-67-6,184.2753
108-29-2,100.1158
106-24-1,154.2493
105-87-3,196.2860
94-48-4,258.3554
40267-72-9,182.3025
105-86-2,182.2594
10032-02-7,252.3923
2345-26-8,208.3398
109-20-6,238.3657
1113-21-9,290.4834
2565-82-4,168.2759
10402-47-8,238.3657
102-22-7,272.3820
105-90-8,210.3126
7785-33-3,236.3499
90-05-1,124.1372
613-70-7,166.1739
134-28-1,264.4030
111-71-7,114.1855
10032-05-0,160.2539
111-14-8,130.1849
112-06-1,158.2380
111-70-6,116.2013
5870-93-9,186.2912
1708-82-3,142.1956
109-29-5,254.4082
66-25-1,100.1589
142-62-1,116.1583
816-19-3,158.2380
6728-26-3,98.1430
5434-57-1,186.2912
10032-15-2,186.2912
142-92-7,144.2114
111-27-3,102.1748
6789-88-4,206.2808
2639-63-6,172.2646
629-33-4,130.1849
6378-65-0,200.3178
2349-07-7,172.2646
10032-13-0,186.2912
1117-55-1,228.3709
5421-17-0,220.3074
2445-76-3,158.2380
6259-76-3,222.2802
16930-96-4,184.2753
107-75-5,172.2646
141-92-4,218.3330
107-74-4,174.2805
3301-94-8,156.2221
120-72-9,117.1479
8013-90-9,192.2973
123-51-3,88.1482
94-46-2,192.2542
106-27-4,158.2380
7779-65-9,218.2915
